time,x,y,z,MF
19:46:37:79,26.59,19.46,-20.49,38.80
19:46:37:94,26.45,19.17,-20.08,38.34
19:46:37:109,26.26,18.79,-19.51,37.72
19:46:37:124,25.60,19.66,-20.15,38.05
19:46:37:145,25.25,20.13,-20.49,38.25
19:46:37:159,25.25,20.13,-20.78,38.41
19:46:37:185,25.27,20.11,-20.81,38.42
19:46:37:200,26.09,18.95,-20.33,38.12
19:46:37:214,25.92,19.37,-20.49,38.30
19:46:37:229,25.42,20.64,-20.99,38.89
19:46:37:244,25.11,20.64,-20.68,38.52
19:46:37:259,24.75,20.64,-20.33,38.10
19:46:37:274,24.99,20.15,-20.33,38.00
19:46:37:290,25.09,19.96,-20.33,37.96
19:46:37:304,24.43,18.63,-19.36,36.31
19:46:37:334,24.58,18.76,-19.49,36.56
19:46:37:349,26.92,20.80,-21.48,40.24
19:46:37:364,26.48,20.07,-21.04,39.33
19:46:37:379,25.42,18.28,-20.00,37.16
19:46:37:394,25.24,19.57,-19.65,37.49
19:46:37:409,25.09,20.64,-19.35,37.81
19:46:37:424,25.22,19.96,-20.80,38.30
19:46:37:441,25.25,19.80,-21.15,38.43
19:46:37:469,26.42,18.95,-20.66,38.53
19:46:37:484,26.34,19.26,-20.63,38.61
19:46:37:500,25.92,20.80,-20.49,39.05
19:46:37:514,25.85,20.46,-20.43,38.79
19:46:37:529,25.76,19.96,-20.33,38.41
19:46:37:544,25.54,20.17,-19.51,37.95
19:46:37:559,25.42,20.30,-19.02,37.68
19:46:37:579,25.42,21.46,-21.28,39.49
19:46:37:589,25.42,21.64,-21.64,39.79
19:46:37:619,26.42,20.30,-20.33,39.03
19:46:37:634,26.31,20.11,-20.29,38.84
19:46:37:651,25.92,19.46,-20.17,38.17
19:46:37:689,26.00,19.68,-20.24,38.38
19:46:37:690,26.09,19.96,-20.33,38.63
19:46:37:694,24.58,20.78,-19.31,37.53
19:46:37:709,23.92,21.14,-18.86,37.08
19:46:37:724,26.18,19.84,-20.12,38.52
19:46:37:754,26.16,19.79,-20.11,38.47
19:46:37:769,24.09,19.63,-19.02,36.43
19:46:37:784,24.45,19.63,-19.47,36.90
19:46:37:799,25.42,19.63,-20.66,38.19
19:46:37:819,25.33,20.43,-20.40,38.41
19:46:37:829,25.25,21.14,-20.17,38.62
19:46:37:851,25.12,21.54,-20.55,38.95
19:46:37:862,25.09,21.64,-20.66,39.05
19:46:37:889,24.92,21.14,-20.82,38.75
19:46:37:904,25.12,21.14,-20.77,38.85
19:46:37:919,26.26,21.14,-20.49,39.45
19:46:37:934,26.57,20.95,-20.18,39.40
19:46:37:953,27.09,20.64,-19.68,39.33
19:46:37:964,26.68,20.43,-20.47,39.35
19:46:37:979,26.42,20.30,-20.99,39.38
19:46:37:994,25.31,20.86,-20.17,38.50
19:46:38:9,25.09,20.97,-20.00,38.33
19:46:38:39,26.42,21.98,-20.99,40.27
19:46:38:54,26.35,21.77,-20.78,40.01
19:46:38:77,26.09,20.97,-20.00,39.00
19:46:38:84,25.01,20.61,-19.93,38.05
19:46:38:99,23.58,20.13,-19.84,36.81
19:46:38:116,24.49,20.81,-19.18,37.42
19:46:38:160,24.92,21.14,-18.86,37.73
19:46:38:162,25.87,21.14,-20.72,39.31
19:46:38:174,25.91,21.13,-20.78,39.36
19:46:38:190,25.42,20.64,-19.02,37.87
19:46:38:204,25.67,20.64,-19.35,38.20
19:46:38:219,26.42,20.64,-20.33,39.21
19:46:38:234,26.34,20.38,-19.75,38.72
19:46:38:249,26.26,20.13,-19.19,38.25
19:46:38:264,26.38,19.74,-19.81,38.45
19:46:38:279,26.42,19.63,-20.00,38.52
19:46:38:294,24.60,20.46,-20.17,37.82
19:46:38:324,24.74,20.45,-20.27,37.96
19:46:38:339,25.76,20.30,-20.99,38.93
19:46:38:354,25.88,20.30,-20.75,38.89
19:46:38:374,26.09,20.30,-20.33,38.81
19:46:38:384,26.09,19.90,-19.56,38.20
19:46:38:399,26.09,19.63,-19.02,37.79
19:46:38:415,25.82,20.72,-19.02,38.18
19:46:38:430,25.76,20.97,-19.02,38.28
19:46:38:459,25.25,21.14,-20.49,38.79
19:46:38:474,25.19,20.95,-20.55,38.68
19:46:38:489,24.92,20.13,-20.82,38.21
19:46:38:504,25.47,20.27,-20.42,38.42
19:46:38:519,26.26,20.47,-19.84,38.76
19:46:38:534,26.47,20.91,-18.98,38.71
19:46:38:549,26.59,21.14,-18.53,38.70
19:46:38:564,24.74,20.52,-19.44,37.56
19:46:38:594,24.59,20.47,-19.51,37.47
19:46:38:609,25.59,20.47,-19.19,37.97
19:46:38:624,25.82,20.77,-19.19,38.29
19:46:38:639,26.59,21.81,-19.19,39.38
19:46:38:654,26.43,20.50,-19.66,38.80
19:46:38:669,26.26,19.12,-20.17,38.23
19:46:38:688,26.01,20.38,-18.95,38.09
19:46:38:699,25.92,20.80,-18.53,38.06
19:46:38:716,26.08,19.33,-20.60,38.45
19:46:38:744,26.02,19.44,-20.55,38.43
19:46:38:759,25.42,20.64,-19.68,38.20
19:46:38:774,25.08,20.86,-20.01,38.27
19:46:38:789,24.42,21.31,-20.66,38.43
19:46:38:804,24.99,20.74,-20.84,38.58
19:46:38:825,25.42,20.30,-20.99,38.71
19:46:38:834,23.83,21.10,-20.99,38.13
19:46:38:849,23.42,21.31,-20.99,37.98
19:46:38:879,24.42,20.64,-21.31,38.42
19:46:38:894,24.44,20.50,-21.34,38.38
19:46:38:909,24.59,19.80,-21.48,38.18
19:46:38:924,24.52,19.47,-21.28,37.86
19:46:38:939,24.42,18.95,-20.99,37.36
19:46:38:954,24.74,19.70,-20.88,37.90
19:46:38:970,24.92,20.13,-20.82,38.21
19:46:38:985,24.92,18.61,-20.23,37.10
19:46:38:999,24.92,18.45,-20.17,36.99
19:46:39:29,25.76,17.61,-20.33,37.24
19:46:39:44,25.65,17.85,-20.36,37.30
19:46:39:60,25.25,18.79,-20.49,37.56
19:46:39:74,25.33,18.71,-20.88,37.78
19:46:39:89,25.42,18.62,-21.31,38.04
19:46:39:104,25.90,18.86,-20.13,37.84
19:46:39:122,26.09,18.95,-19.68,37.78
19:46:39:134,25.61,19.75,-19.21,37.62
19:46:39:164,25.54,19.63,-19.41,37.61
19:46:39:179,25.09,17.95,-21.64,37.68
19:46:39:194,25.57,18.32,-21.17,37.91
19:46:39:209,26.59,19.12,-20.17,38.46
19:46:39:224,26.32,18.11,-20.61,38.02
19:46:39:239,26.09,17.27,-20.99,37.67
19:46:39:254,26.22,18.96,-20.86,38.49
19:46:39:269,26.26,19.46,-20.82,38.75
19:46:39:285,26.09,18.96,-22.61,39.39
19:46:39:314,26.09,18.91,-22.20,39.13
19:46:39:329,26.09,18.62,-19.68,37.61
19:46:39:376,25.90,18.55,-20.34,37.80
19:46:39:377,25.59,18.45,-21.48,38.16
19:46:39:378,26.72,18.97,-20.57,38.69
19:46:39:390,27.42,19.29,-20.00,39.04
19:46:39:404,27.57,19.14,-19.86,39.00
19:46:39:419,27.59,19.12,-19.84,39.00
19:46:39:449,25.92,19.46,-21.48,38.88
19:46:39:464,25.89,19.36,-21.57,38.86
19:46:39:479,25.76,18.95,-21.97,38.80
19:46:39:494,26.21,18.65,-20.94,38.38
19:46:39:509,26.76,18.28,-19.68,37.91
19:46:39:524,26.17,17.69,-20.02,37.40
19:46:39:539,25.92,17.44,-20.17,37.19
19:46:39:554,26.70,18.22,-20.93,38.51
19:46:39:590,26.73,18.45,-20.99,38.67
19:46:39:599,26.42,20.64,-20.99,39.55
19:46:39:614,26.61,20.26,-20.71,39.34
19:46:39:629,27.09,19.29,-20.00,38.81
19:46:39:644,26.65,19.38,-19.40,38.24
19:46:39:659,26.26,19.46,-18.86,37.73
19:46:39:674,26.76,20.21,-19.35,38.72
19:46:39:689,26.92,20.47,-19.51,39.05
19:46:39:705,26.76,20.30,-18.40,38.30
19:46:39:734,26.60,20.38,-18.53,38.29
19:46:39:749,25.42,20.97,-19.68,38.38
19:46:39:764,26.17,19.87,-20.07,38.50
19:46:39:783,27.59,17.78,-20.82,38.87
19:46:39:794,26.59,18.78,-19.65,38.03
19:46:39:809,25.92,19.46,-18.86,37.50
19:46:39:824,26.46,20.00,-18.33,37.90
19:46:39:839,26.59,20.13,-18.21,38.00
19:46:39:870,25.25,20.80,-20.82,38.78
19:46:39:885,25.42,20.58,-20.82,38.77
19:46:39:899,26.26,19.46,-20.82,38.75
19:46:39:914,25.90,19.38,-20.33,38.21
19:46:39:929,25.42,19.29,-19.68,37.49
19:46:39:945,25.19,20.44,-19.68,37.94
19:46:39:962,25.09,20.97,-19.68,38.16
19:46:39:976,26.75,19.29,-20.12,38.64
19:46:40:7,26.85,19.20,-20.18,38.68
19:46:40:19,25.42,20.64,-20.33,38.54
19:46:40:34,26.16,20.15,-20.29,38.76
19:46:40:49,28.26,18.79,-20.17,39.48
19:46:40:64,28.09,19.46,-20.17,39.68
19:46:40:80,27.93,20.13,-20.17,39.90
19:46:40:95,26.22,20.13,-19.69,38.48
19:46:40:109,25.59,20.13,-19.51,37.96
19:46:40:124,25.43,19.33,-20.30,37.84
19:46:40:154,25.54,19.37,-20.25,37.91
19:46:40:169,26.59,20.13,-19.51,38.64
19:46:40:185,26.48,19.69,-20.15,38.67
19:46:40:200,26.26,18.79,-21.48,38.77
19:46:40:215,25.80,19.43,-20.85,38.44
19:46:40:229,25.42,19.96,-20.33,38.19
19:46:40:244,26.48,20.23,-20.59,39.17
19:46:40:260,26.76,20.30,-20.66,39.43
19:46:40:294,26.09,18.62,-21.64,38.67
19:46:40:304,25.80,18.62,-21.30,38.29
19:46:40:321,24.09,18.62,-19.35,36.07
19:46:40:334,24.91,19.03,-20.29,37.34
19:46:40:349,26.09,19.63,-21.64,39.17
19:46:40:364,24.98,19.18,-20.56,37.61
19:46:40:385,24.42,18.95,-20.00,36.82
19:46:40:394,24.57,17.91,-21.89,37.46
19:46:40:409,24.59,17.78,-22.13,37.55
19:46:40:439,26.26,18.45,-21.48,38.61
19:46:40:454,26.26,18.20,-21.48,38.50
19:46:40:469,26.26,17.44,-21.48,38.14
19:46:40:484,26.42,16.95,-21.95,38.30
19:46:40:499,26.59,16.43,-22.46,38.49
19:46:40:517,26.71,14.88,-22.11,37.73
19:46:40:529,26.76,14.25,-21.97,37.44
19:46:40:544,25.04,15.98,-23.04,37.59
19:46:40:574,25.03,16.20,-23.19,37.77
19:46:40:589,26.26,17.44,-24.09,39.67
19:46:40:604,25.90,16.88,-23.94,39.10
19:46:40:619,25.09,15.59,-23.60,37.81
19:46:40:634,25.62,15.41,-23.60,38.09
19:46:40:649,26.09,15.25,-23.60,38.35
19:46:40:664,26.47,15.12,-23.73,38.63
19:46:40:679,26.59,15.09,-23.76,38.72
19:46:40:709,23.58,16.09,-25.40,38.21
19:46:40:724,23.54,16.01,-25.19,38.02
19:46:40:739,23.25,15.42,-23.76,36.65
19:46:40:754,23.90,15.68,-24.27,37.50
19:46:40:769,24.92,16.09,-25.07,38.84
19:46:40:784,24.71,15.66,-24.86,38.39
19:46:40:799,24.59,15.42,-24.75,38.14
19:46:40:817,24.44,14.69,-24.04,37.29
19:46:40:831,24.42,14.58,-23.93,37.17
19:46:40:858,23.92,14.41,-23.44,36.46
19:46:40:875,23.84,14.26,-23.80,36.58
19:46:40:888,23.58,13.74,-25.07,37.06
19:46:40:903,24.43,13.82,-25.00,37.59
19:46:40:918,25.42,13.91,-24.91,38.21
19:46:40:933,24.39,13.10,-25.92,37.92
19:46:40:949,23.92,12.73,-26.38,37.82
19:46:40:964,23.15,11.03,-28.33,38.21
19:46:40:996,23.17,10.87,-28.46,38.27
19:46:41:8,24.59,10.71,-27.69,38.55
19:46:41:45,23.97,10.00,-28.10,38.27
19:46:41:46,22.42,8.19,-29.16,37.68
19:46:41:53,22.07,7.51,-29.32,37.46
19:46:41:68,21.75,6.85,-29.49,37.27
19:46:41:83,22.12,6.21,-29.85,37.67
19:46:41:98,22.25,6.01,-29.98,37.81
19:46:41:128,22.42,4.16,-29.81,37.53
19:46:41:143,22.24,4.02,-30.05,37.60
