Time	Theta	Phi
1.863000	61.952637	44.884456
1.876000	62.563979	46.137676
1.907000	62.227325	45.774937
1.927000	62.162702	45.623828
1.937000	61.921596	45.051179
1.952000	62.172620	45.475568
1.966000	62.480771	45.984654
1.981000	63.612055	48.285219
1.998000	64.030123	49.074552
2.025000	61.675778	44.364991
2.040000	61.629871	44.290925
2.054000	61.340904	43.791096
2.079000	61.894297	45.183097
2.087000	62.754645	47.191292
2.099000	61.328364	44.373506
2.115000	60.757151	43.047703
2.128000	60.222994	42.031808
2.158000	60.214936	42.127723
2.173000	60.356111	43.657897
2.194000	60.027515	42.741560
2.220000	59.511649	41.067966
2.221000	59.417873	40.875380
2.233000	59.361406	40.754736
2.247000	59.001673	38.809426
2.277000	58.955728	38.529188
2.291000	58.600629	35.703708
2.306000	58.598685	36.208182
2.351000	58.577539	37.530253
2.352000	58.604999	34.424192
2.354000	58.779492	32.169409
2.371000	59.007510	30.114843
2.381000	59.067328	29.663714
2.410000	59.093259	30.448015
2.426000	59.294536	29.474155
2.441000	60.123475	26.588496
2.455000	60.014060	26.968686
2.486000	59.908936	27.355427
2.486000	60.178204	26.285427
2.499000	60.260312	25.978359
2.528000	60.572729	25.115690
2.543000	60.545343	25.313859
2.558000	60.415131	26.234942
2.572000	60.699201	25.364918
2.601000	61.093285	24.255896
2.602000	60.872744	25.459842
2.620000	60.773138	25.968801
2.632000	60.525205	26.243297
2.661000	60.583278	26.061933
2.677000	61.149721	24.559975
2.691000	61.052300	24.734395
2.705000	60.893736	25.027065
2.745000	61.197009	24.102818
2.746000	61.376112	23.581859
2.750000	61.850861	22.729322
2.780000	61.879273	22.655493
2.795000	61.565697	22.607070
2.810000	61.631914	22.863643
2.824000	61.719343	23.523542
2.840000	61.496447	23.516467
2.855000	61.316514	23.565204
2.869000	61.179986	24.249488
2.884000	61.153222	24.377883
2.914000	62.099083	22.079263
2.928000	61.927043	22.576104
2.942000	61.420710	24.100233
2.958000	60.984712	25.138039
2.973000	60.600789	26.151686
2.989000	59.987278	27.803296
3.001000	59.829276	28.296521
3.061000	58.874079	33.063132
3.064000	58.828204	33.294733
3.065000	58.650965	34.314334
3.076000	58.446046	35.794627
3.091000	58.246563	37.529922
3.107000	58.045125	39.488187
3.119000	57.974757	40.258582
3.136000	57.801982	40.220859
3.165000	57.774757	40.285936
3.180000	57.570814	40.787121
3.197000	57.485644	40.926963
3.210000	57.340412	41.187051
3.224000	57.121170	41.472999
3.238000	56.984623	41.680337
3.253000	57.417419	38.757514
3.283000	57.512989	38.327961
3.298000	58.484305	35.021420
3.313000	58.903395	33.914695
3.329000	59.813042	32.111625
3.345000	60.677570	30.585442
3.375000	61.306980	29.601458
3.376000	61.897295	29.180354
3.388000	61.990561	29.136513
3.423000	65.065252	25.855662
3.435000	66.089096	24.791941
3.447000	69.044012	22.102646
3.462000	71.293575	19.875719
3.477000	73.364717	17.932004
3.493000	75.155398	17.189812
3.506000	75.602023	17.035075
3.534000	78.862958	15.872845
3.557000	78.723290	16.000997
3.571000	78.186784	16.494345
3.581000	78.918759	16.414242
3.595000	79.713310	16.378962
3.612000	79.541683	16.438336
3.625000	79.482073	16.455183
3.654000	80.617457	15.494749
3.670000	80.808293	15.547600
3.708000	81.928626	15.904886
3.710000	81.427304	15.785970
3.715000	80.697559	15.663998
3.732000	83.214679	14.189426
3.742000	84.442489	13.506553
3.758000	83.565101	13.305803
3.786000	83.510719	13.229418
3.801000	83.441066	12.545764
3.828000	83.754729	11.462817
3.830000	84.107691	9.580119
3.846000	84.718408	10.157123
3.862000	85.064005	10.561321
3.875000	85.446151	11.174839
3.905000	85.456696	11.236446
3.920000	83.684034	10.919108
3.934000	83.962367	10.866728
3.956000	84.633924	10.762463
3.970000	84.384818	10.263741
3.980000	84.137351	9.859795
3.993000	84.667486	10.092967
4.008000	84.776786	10.148738
4.038000	85.053217	11.582556
4.053000	84.599997	11.488303
4.088000	82.963927	11.279928
4.094000	83.413281	11.228025
4.105000	83.860671	11.185143
4.117000	82.895633	11.916654
4.128000	82.604144	12.142621
4.157000	83.268306	11.626391
4.171000	83.290458	11.446870
4.187000	83.364590	10.582129
4.204000	83.002979	11.434396
4.216000	82.468685	12.541156
4.232000	82.837380	11.986852
4.245000	82.979370	11.758474
4.261000	81.664482	11.852246
4.290000	81.752816	11.818602
4.313000	82.809462	11.585612
4.333000	82.672112	11.514285
4.336000	82.429067	11.407253
4.351000	82.517518	11.621812
4.370000	82.563742	11.747215
4.380000	80.413329	13.742889
4.409000	80.301992	13.866895
4.424000	82.209697	12.608180
4.460000	82.085867	12.938366
4.461000	81.765730	13.673659
4.471000	82.376805	13.136152
4.486000	82.805946	12.762196
4.498000	82.413777	11.842753
4.513000	82.335320	11.696144
4.541000	82.265425	12.516112
4.558000	82.342340	12.467431
4.588000	82.561005	12.338706
4.589000	82.339099	12.613550
4.620000	82.127140	12.871585
4.620000	81.826792	13.163488
4.630000	81.749040	13.239825
4.660000	80.639784	12.196970
4.675000	80.403636	12.257204
4.702000	79.444147	12.529227
4.708000	79.254425	11.109062
4.724000	78.749499	9.631355
4.735000	76.197570	9.846865
4.749000	75.220997	10.088497
4.764000	72.368469	10.683429
4.793000	72.170145	10.808395
4.810000	70.949279	11.650860
4.838000	69.792392	12.680200
4.839000	68.126385	14.383512
4.856000	65.309155	18.231502
4.867000	64.056703	20.310426
4.883000	63.023642	22.291448
4.911000	62.714889	22.921781
4.927000	60.472235	28.309745
4.942000	60.062139	29.426035
4.967000	59.262014	31.978888
4.972000	58.925370	33.221285
4.990000	58.715331	34.123064
5.001000	58.450793	35.421498
5.015000	58.403727	35.662976
5.045000	57.899609	38.828509
5.060000	57.840656	39.585645
5.077000	57.768771	41.898602
5.089000	57.830968	41.129881
5.116000	57.887493	40.479967
5.124000	57.802457	41.741004
5.136000	57.783516	42.084409
5.164000	57.911016	41.677328
5.180000	57.931077	41.574415
5.193000	58.015267	41.153625
5.208000	58.094028	40.284330
5.225000	58.180953	39.323186
5.243000	58.211819	38.677700
5.252000	58.225965	38.433911
5.285000	58.477512	35.709677
5.298000	58.503864	35.469509
5.312000	58.694796	33.921000
5.327000	58.845267	32.882812
5.343000	59.094537	31.396869
5.361000	59.106349	31.399675
5.371000	59.108528	31.417963
5.385000	59.462126	29.618980
5.416000	59.534433	29.305069
5.438000	60.052449	27.379014
5.446000	60.206264	26.879409
5.462000	60.502829	25.984349
5.478000	60.556234	25.486735
5.489000	60.586344	25.155101
5.504000	60.605507	25.882063
5.535000	60.606102	25.969456
5.557000	60.958653	24.221265
5.563000	61.074070	23.841076
5.584000	61.367418	22.918216
5.598000	61.380102	22.830583
5.611000	61.389914	22.762008
5.623000	61.267041	22.653787
5.637000	61.235708	22.636952
5.671000	60.475662	23.152650
5.686000	60.325866	23.579757
5.697000	59.840910	25.231306
5.712000	59.822369	24.575665
5.729000	59.774828	23.915536
5.741000	58.802074	29.231090
5.757000	58.663616	30.842292
5.786000	58.700834	30.009136
5.822000	58.658223	30.524864
5.823000	58.560671	33.325748
5.830000	58.591084	34.688196
5.846000	58.745675	36.748714
5.859000	59.042593	39.266632
5.874000	59.192696	40.265957
5.889000	59.512092	41.217958
5.925000	59.624450	41.711674
5.938000	60.434095	44.889952
5.948000	61.115481	46.692414
5.963000	62.510673	49.724242
5.980000	61.948539	48.412142
5.992000	61.643314	47.650093
6.007000	61.866806	48.708883
6.036000	61.895634	48.777171
6.051000	62.278548	48.757396
6.083000	62.670879	49.747661
6.085000	63.569633	51.866294
6.104000	63.875053	51.501640
6.111000	64.101238	51.299452
6.127000	66.397686	55.337802
6.141000	66.845764	56.055133
6.170000	64.765027	51.477799
6.187000	65.518311	52.923356
6.212000	67.933666	57.191485
6.223000	67.325067	55.842159
6.255000	66.712890	54.495417
6.256000	66.839243	54.991156
6.259000	66.881566	55.143795
6.288000	66.985324	54.672248
6.303000	66.831333	54.449724
6.317000	66.112504	53.353309
6.332000	67.212283	55.013121
6.354000	68.525305	56.858552
6.362000	69.781955	58.372078
6.376000	70.288751	58.958374
6.391000	67.089169	55.781249
6.409000	67.089169	55.781249
6.435000	68.608304	56.935720
6.458000	68.045612	56.810652
6.480000	67.269781	56.681351
6.482000	66.129563	55.285414
6.497000	65.546956	54.523275
6.510000	65.536298	54.283750
6.541000	65.471777	54.203461
6.556000	64.655046	53.332387
6.570000	63.968986	52.392570
6.604000	62.823180	50.676410
6.605000	62.598130	50.883413
6.614000	62.460096	51.050362
6.631000	61.576792	49.563626
6.644000	61.451923	49.333584
6.664000	60.935403	49.307992
6.688000	60.637190	48.367223
6.703000	59.935954	45.761729
6.730000	59.383016	43.825170
6.762000	59.039182	42.310238
6.763000	58.849068	40.210439
6.764000	58.812914	39.739422
6.791000	58.626300	37.677694
6.805000	58.589117	36.688482
6.821000	58.650662	33.458339
6.837000	58.729773	32.688951
6.850000	58.841689	31.955606
6.866000	58.801582	32.837562
6.880000	58.778349	33.140114
6.908000	59.258428	29.980434
6.924000	59.231770	30.251544
6.939000	59.091119	31.474236
6.954000	59.328457	30.331438
6.979000	59.686806	28.857846
6.983000	59.853778	28.575913
6.998000	59.925817	28.478531
7.013000	60.239521	27.385887
7.043000	60.242001	27.390359
7.058000	60.247826	27.499707
7.074000	60.310836	27.290766
7.090000	60.425274	26.920948
7.111000	60.643567	26.385094
7.116000	60.773112	26.083844
7.174000	60.704682	26.568241
7.176000	60.708219	26.596716
7.178000	61.068106	25.814621
7.194000	61.116336	25.563883
7.210000	61.217229	24.994234
7.223000	61.017612	25.483713
7.236000	60.875202	25.842935
7.250000	60.760197	26.118026
7.280000	60.741164	26.163375
7.295000	61.219494	24.982955
7.309000	61.216373	24.939111
7.324000	61.199967	24.811821
7.340000	61.242998	24.658484
7.354000	61.283167	24.517122
7.368000	60.909467	25.709572
7.389000	60.820018	26.000133
7.417000	60.588903	26.473657
7.417000	60.588903	26.473657
7.442000	60.278182	26.967003
7.458000	59.832885	28.561762
7.472000	59.359006	30.525191
7.488000	59.459133	30.237858
7.502000	59.499650	30.128027
7.549000	58.851715	33.139399
7.552000	58.810990	33.372994
7.567000	58.525808	35.157343
7.577000	58.383644	36.214951
7.594000	58.209615	37.830404
7.605000	57.949527	40.140440
7.620000	57.811562	41.446448
7.635000	57.740910	41.858388
7.664000	57.721181	41.973419
7.680000	57.454388	43.513157
7.696000	57.471749	43.464913
7.711000	57.508051	43.382032
7.736000	57.464804	42.263515
7.741000	57.458653	41.552518
7.756000	57.593037	39.859833
7.799000	57.630053	39.530266
7.801000	57.984856	37.283075
7.817000	58.204216	36.271958
7.835000	58.873183	33.724259
7.846000	59.161654	32.847145
7.856000	59.439194	32.103790
7.870000	61.064994	27.739368
7.890000	61.423756	26.867883
7.915000	62.324398	25.910209
7.930000	62.972447	24.722848
7.946000	65.398392	20.859215
7.962000	66.590003	19.176646
7.974000	67.897363	17.496425
7.990000	69.088856	17.225584
8.004000	69.459430	17.214210
8.034000	72.062978	16.034049
8.049000	72.349981	16.056720
8.064000	73.904290	16.544582
8.081000	75.565989	15.707452
8.093000	77.901801	14.809091
8.108000	77.047602	16.227105
8.124000	76.646124	16.846728
8.144000	79.026190	15.766128
8.192000	79.170736	15.685645
8.193000	79.344302	15.335759
8.222000	79.099513	15.681926
8.223000	78.636301	16.308472
8.229000	78.860149	16.719014
8.243000	78.982027	16.964870
8.257000	80.015777	16.107249
8.293000	80.026911	16.040870
8.314000	78.251124	16.682858
8.316000	78.437236	16.658353
8.337000	78.850417	16.621245
8.345000	78.961267	16.237383
8.361000	79.044990	15.930574
8.374000	78.694596	17.060519
8.412000	78.627136	17.249035
8.422000	77.901437	17.302584
8.449000	78.062225	17.312208
8.450000	78.544986	17.384561
8.464000	77.906803	17.534486
8.479000	77.319744	17.685727
8.493000	76.607136	18.883772
8.507000	76.382447	19.235639
8.537000	76.322246	18.704082
8.552000	76.186782	18.865022
8.567000	75.504961	19.662763
8.583000	75.478262	19.610458
8.596000	75.443391	19.545326
8.612000	75.298537	19.878011
8.626000	75.234478	20.018411
8.641000	75.820141	19.436223
8.670000	75.726746	19.529542
8.686000	74.975293	20.249265
8.716000	75.152486	19.903269
8.717000	75.418587	19.336784
8.745000	74.551589	20.232641
8.748000	73.957956	20.837673
8.760000	75.393643	19.747434
8.776000	75.504961	19.662763
8.803000	74.615696	20.486288
8.824000	75.087347	19.981699
8.837000	76.015708	18.957970
8.848000	75.207258	19.741622
8.864000	74.642650	20.283581
8.883000	74.513629	19.942094
8.893000	74.491741	19.898868
8.921000	76.596063	18.577077
8.937000	76.409429	18.767225
8.954000	75.948516	19.247931
8.966000	75.692951	18.851900
8.981000	75.421870	18.549892
9.000000	75.578235	18.126909
9.013000	75.616236	18.027116
9.040000	73.732686	19.186954
9.058000	73.863394	19.160600
9.072000	74.386405	19.075754
9.085000	73.538748	18.675931
9.100000	72.402577	18.468694
9.137000	71.135422	18.929555
9.145000	70.685504	19.129432
9.161000	67.548800	22.207254
9.173000	67.156229	22.598510
9.188000	64.887664	25.079491
9.205000	63.739453	26.308514
9.217000	62.161993	28.304900
9.233000	61.706600	28.857847
9.254000	61.498468	29.129549
9.262000	60.152810	31.237706
9.292000	60.078692	31.338185
9.307000	60.075911	31.043426
9.326000	60.210824	30.679132
9.336000	60.452030	30.014595
9.351000	60.001505	30.865640
9.366000	59.719987	31.470787
9.380000	59.619923	31.458938
9.410000	59.609824	31.456024
9.425000	59.780987	30.676107
9.440000	59.624812	31.056542
9.456000	59.278174	32.017710
9.470000	59.414137	31.570771
9.486000	59.510425	31.268977
9.500000	59.417489	31.388561
9.514000	59.399041	31.413534
9.549000	59.710194	30.343551
9.561000	59.753999	30.152195
9.576000	59.892638	29.531849
9.589000	59.707104	29.978758
9.604000	59.518730	30.492038
9.618000	59.956585	29.037957
9.632000	60.092562	28.626218
9.671000	60.251433	28.008296
9.697000	60.330352	27.597719
9.699000	60.642158	25.777554
9.717000	60.787627	25.487107
9.722000	60.982864	25.119935
9.737000	61.351459	23.782794
9.751000	61.500589	23.254289
9.767000	62.674896	20.695132
9.784000	62.684091	20.678703
9.820000	65.085900	16.552670
9.838000	65.732332	15.862644
9.840000	66.696219	14.970993
9.855000	67.669530	14.396356
9.869000	68.165347	14.169333
9.883000	70.260928	13.582500
9.913000	70.356439	13.612633
9.928000	70.665605	14.261881
9.950000	70.007708	14.573053
9.964000	68.801569	15.283722
9.972000	69.428800	14.720616
9.987000	69.868469	14.353618
10.002000	69.858466	14.181109
10.017000	69.853967	14.156107
10.035000	70.095843	12.551797
10.072000	69.611350	12.842145
10.098000	68.157443	13.946972
10.099000	67.482788	13.841809
10.108000	66.809903	13.871676
10.121000	66.177443	13.108414
10.136000	65.982916	12.946162
10.165000	62.855430	16.788354
10.181000	62.549795	17.258326
10.198000	61.449440	19.248350
10.210000	60.913995	19.709747
10.225000	60.298089	20.464726
10.254000	59.403630	23.213848
10.257000	59.159872	24.221720
10.284000	58.625891	29.114828
10.300000	58.589747	29.308243
10.319000	58.447536	30.431855
10.337000	58.411288	30.530119
10.344000	58.361402	30.690836
10.371000	58.594799	34.735501
10.380000	58.909376	36.773364
10.395000	58.760861	35.665214
10.417000	58.816692	35.960937
10.433000	59.501308	39.132498
10.450000	59.949044	40.634748
10.462000	60.941379	43.354164
10.476000	60.255205	41.050382
10.503000	59.892532	39.774113
10.506000	60.712273	42.350055
10.535000	60.835070	42.699934
10.552000	61.419758	43.821774
10.567000	61.612127	44.284021
10.579000	62.092363	45.391335
10.597000	62.413682	46.120845
10.629000	62.657150	46.657094
10.630000	60.585692	41.339244
10.647000	60.175517	40.138128
10.669000	62.283085	45.363900
10.690000	62.242753	45.365649
10.698000	62.120570	45.386870
10.714000	61.410740	43.763730
10.763000	60.736528	42.061083
10.763000	62.636902	46.574160
10.764000	63.202622	47.739406
10.791000	63.618967	47.980930
10.792000	63.618967	47.980930
10.816000	62.164406	45.590858
10.830000	62.249461	45.667466
10.845000	62.345774	45.748291
10.862000	61.124863	43.305134
10.875000	60.714004	42.356209
10.905000	61.980562	45.457303
10.920000	61.711887	44.865002
10.934000	59.907167	40.119951
10.949000	59.940934	40.534919
10.965000	59.993699	41.241719
10.979000	59.470834	39.406952
10.993000	59.233222	38.426426
11.015000	58.591287	34.707313
11.037000	58.585653	34.663008
11.055000	59.153807	38.704576
11.068000	58.899570	37.424663
11.084000	58.610337	35.021524
11.097000	58.551810	33.599562
11.113000	58.549114	32.634481
11.162000	58.658831	31.568573
11.163000	58.688362	31.364522
11.180000	59.026510	29.283172
11.191000	59.124996	29.218207
11.210000	59.340774	29.355158
11.216000	59.564123	28.432911
11.230000	59.766573	27.701224
11.246000	59.963370	26.713950
11.271000	60.004083	26.517828
11.290000	60.068535	27.477107
11.307000	60.256005	26.919370
11.324000	60.951990	25.129009
11.334000	61.328820	24.424187
11.349000	61.732845	23.761120
11.364000	61.215403	25.651638
11.388000	61.037608	26.291642
11.408000	60.151753	29.117090
11.425000	60.142452	29.158335
11.443000	60.087559	29.386540
11.454000	60.117436	29.343208
11.469000	60.159717	29.280497
11.491000	60.132309	29.459115
11.496000	60.117715	29.543118
11.513000	59.973454	29.912247
11.541000	59.986757	29.874808
11.558000	60.199551	29.291596
11.572000	60.298265	29.067410
11.586000	60.484575	28.663862
11.601000	60.290729	29.252781
11.634000	60.183966	29.580362
11.636000	60.891135	27.442676
11.661000	60.978325	27.178995
11.676000	61.042168	26.896040
11.695000	60.969639	27.143513
11.705000	60.791191	27.743292
11.721000	61.252966	26.657535
11.734000	61.623565	25.845783
11.757000	61.580397	25.985656
11.774000	61.573190	26.011529
11.796000	61.025841	27.081737
11.815000	61.052688	26.975904
11.822000	61.134749	26.642207
11.836000	61.252248	26.484107
11.852000	61.357034	26.351424
11.866000	61.580356	25.509617
11.888000	61.642120	25.271970
11.911000	61.494198	24.951602
11.927000	61.516496	24.875714
11.940000	61.635210	24.488059
11.955000	60.811400	26.646095
11.970000	59.906295	29.421422
11.985000	60.293504	27.574983
12.006000	60.437962	26.826078
12.015000	60.271807	27.439985
12.044000	60.204182	27.565368
12.064000	59.731302	28.580255
12.076000	59.334192	30.352730
12.089000	58.787557	33.367382
12.105000	58.868858	32.813194
12.142000	58.909504	32.538252
12.143000	58.488378	35.594070
12.163000	58.479047	35.690403
12.184000	58.628567	34.398459
12.202000	58.618473	34.486229
12.219000	58.598870	34.657143
12.222000	58.675169	34.032860
12.236000	58.729204	33.630024
12.259000	58.760660	33.324101
12.281000	58.766814	33.264700
12.298000	59.101053	30.798363
12.314000	59.296556	29.826814
12.326000	59.845432	27.673850
12.343000	60.777559	24.520373
12.355000	61.721635	22.011215
12.370000	62.539716	21.399660
12.408000	62.721970	21.322901
12.411000	65.755404	16.196463
12.429000	66.362535	15.499222
12.444000	68.555856	13.472490
12.460000	69.488486	12.403751
12.473000	70.506681	11.335756
12.488000	74.222776	7.984690
12.522000	75.542505	7.023628
12.537000	77.620823	6.435172
12.550000	77.931565	6.310323
12.562000	79.636554	5.706343
12.577000	81.141157	5.624525
12.592000	83.169308	5.783788
12.607000	85.032103	5.237847
12.622000	85.761626	5.068698
12.657000	89.141482	4.500234
12.671000	89.261397	4.425423
12.685000	89.105168	4.008822
12.696000	89.445388	4.845562
12.712000	89.861319	6.357519
12.725000	90.306029	7.273528
12.764000	90.535750	7.827083
12.765000	90.573136	7.426275
12.784000	90.547759	7.371959
12.800000	89.809934	7.167856
12.813000	89.554643	7.604554
12.829000	88.972022	8.571978
12.843000	88.419137	8.880420
12.866000	88.020315	9.112326
12.873000	89.590653	10.398428
12.887000	89.847436	10.675931
12.917000	90.892612	7.235661
12.935000	90.473190	7.516261
12.946000	89.201363	8.361077
12.961000	89.118123	8.297939
12.983000	89.046194	8.233408
12.991000	90.429439	7.379819
13.005000	90.801200	7.152334
13.035000	89.382158	8.535375
13.052000	88.903981	8.588774
13.075000	86.765040	8.946830
13.080000	87.264416	8.828654
13.095000	87.982200	8.677095
13.132000	88.283237	10.329020
13.133000	88.335639	10.896228
13.145000	87.215973	11.025477
13.158000	87.206465	11.028150
13.184000	88.458985	10.006381
13.198000	88.553126	9.689853
13.213000	88.678609	9.229037
13.228000	87.579173	10.035675
13.263000	87.031371	10.424730
13.264000	87.582718	9.643331
13.288000	87.640841	9.626427
13.302000	88.213004	9.699861
13.320000	87.494474	9.633210
13.332000	86.198092	9.604871
13.347000	87.133527	9.661878
13.362000	87.753321	9.733392
13.398000	89.300695	10.102772
13.413000	89.497787	10.168219
13.414000	88.362766	9.352961
13.436000	87.793372	9.579849
13.450000	86.347904	10.263553
13.467000	85.926258	11.270151
13.479000	85.540229	12.065143
13.494000	86.349382	10.617674
13.517000	86.505577	10.310457
13.538000	85.356355	11.486759
13.552000	85.430886	11.563502
13.568000	85.686788	11.845750
13.583000	84.780019	11.939159
13.597000	83.792093	12.100099
13.611000	83.854246	11.337186
13.627000	83.870726	11.137956
13.657000	82.014758	13.126257
13.680000	81.939425	12.839133
13.688000	81.451397	11.718538
13.703000	80.472133	11.873966
13.717000	79.205569	12.172649
13.735000	78.247939	12.466117
13.747000	77.822941	12.620402
13.764000	75.834852	13.744922
13.820000	75.815042	13.751945
13.821000	75.703765	13.729830
13.822000	75.290909	13.812773
13.835000	74.616317	13.973138
13.849000	73.555271	14.251571
13.865000	72.959602	14.457008
13.880000	70.739557	16.390999
13.918000	70.424526	16.653124
13.925000	68.541097	17.847838
13.939000	68.140939	18.321769
13.953000	67.243651	19.428673
13.968000	66.157566	20.409060
13.983000	65.422177	21.169785
13.998000	64.099263	23.491164
14.040000	63.842186	23.934898
14.050000	62.672319	24.958379
14.057000	62.255646	25.833759
14.072000	61.128058	28.323536
14.086000	60.323665	30.075394
14.101000	59.611819	31.814209
14.115000	59.312787	32.588139
14.132000	59.246907	32.766992
14.160000	58.680226	34.448012
14.175000	58.670018	34.476287
14.190000	58.630159	34.593012
14.210000	58.372092	35.454408
14.220000	58.109878	36.418581
14.235000	58.133819	36.406046
14.249000	58.138390	36.415503
14.279000	58.370305	35.579628
14.296000	58.363384	35.602385
14.308000	58.316813	35.753312
14.323000	58.370061	35.566272
14.343000	58.446398	35.287261
14.353000	59.244671	32.318617
14.371000	59.675562	30.862095
14.383000	58.978875	33.279362
14.413000	59.019864	33.136322
14.427000	60.096163	29.671469
14.443000	60.153323	29.461292
14.501000	60.254877	29.083060
14.504000	60.534372	28.325104
14.508000	60.713296	27.863790
14.511000	60.924309	27.297724
14.538000	60.984778	27.166183
14.548000	61.596386	26.171540
14.559000	61.657209	26.045988
14.574000	61.794228	25.771223
14.590000	61.990769	25.471764
14.607000	62.145228	25.246337
14.617000	62.806166	23.906751
14.634000	62.913771	23.699678
14.662000	63.471551	23.087342
14.678000	63.646553	22.687511
14.695000	64.130560	21.585412
14.708000	64.541618	20.588390
14.738000	64.954989	19.593487
14.739000	64.817842	18.667483
14.767000	64.757371	18.423257
14.786000	65.432842	16.896375
14.796000	65.291626	17.004739
14.811000	64.642138	17.559948
14.826000	64.460210	17.037592
14.840000	64.143967	16.453799
14.862000	63.496680	16.952075
14.876000	63.223069	17.191745
14.885000	62.101227	19.078706
14.914000	61.915483	19.372082
14.929000	60.685843	21.637763
14.944000	60.510078	21.797919
14.958000	60.214454	22.139405
14.974000	59.971368	22.240733
14.988000	59.841210	22.329847
15.006000	58.931364	26.037819
15.032000	58.851890	26.412202
15.048000	58.642719	26.873332
15.064000	58.486982	27.962727
15.084000	58.328420	30.516233
15.092000	58.290450	31.354701
15.131000	58.295962	31.943904
15.137000	58.084777	30.440246
15.138000	58.057782	30.260427
15.171000	58.394468	33.274364
15.180000	58.489247	34.036965
15.196000	58.920547	36.389801
15.210000	58.519927	34.298273
15.225000	58.274803	32.685396
15.240000	58.186263	31.942170
15.258000	58.166980	31.758910
15.285000	58.838747	35.784541
15.300000	58.861341	35.884275
15.316000	58.925463	36.173841
15.330000	58.928334	36.249378
15.345000	58.937092	36.370060
15.362000	58.895835	36.112328
15.376000	58.884192	36.038260
15.432000	58.883841	35.921703
15.433000	58.895938	35.975991
15.434000	58.983273	36.365219
15.447000	59.479613	38.254016
15.462000	60.206962	40.728910
15.478000	58.837679	35.804841
15.494000	58.410084	33.838477
15.507000	59.913986	39.382012
15.555000	59.800383	39.084676
15.557000	58.891084	36.088306
15.567000	58.916398	36.239690
15.582000	58.955468	36.494256
15.596000	59.453716	38.577263
15.610000	59.762566	39.727907
